Trial,Parameter,Value,Average Train Loss,Average Validation Loss
64,number epochs,100,5.379830117225647,5.1083409786224365
65,learning_rate,1e-05,5.633625655174256,5.24867835521698
65,momentum,0.3,5.633625655174256,5.24867835521698
65,weight_decay,0.01,5.633625655174256,5.24867835521698
65,number epochs,200,5.633625655174256,5.24867835521698
66,learning_rate,0.0001,5.316337894439697,5.033578104019165
66,momentum,0.3,5.316337894439697,5.033578104019165
66,weight_decay,0.005,5.316337894439697,5.033578104019165
66,number epochs,250,5.316337894439697,5.033578104019165
67,learning_rate,0.001,5.639828691482544,5.322528991699219
67,momentum,1,5.639828691482544,5.322528991699219
67,weight_decay,0.005,5.639828691482544,5.322528991699219
67,number epochs,50,5.639828691482544,5.322528991699219
68,learning_rate,1e-05,5.432212844848633,5.159084190368652
68,momentum,0.7,5.432212844848633,5.159084190368652
68,weight_decay,0.01,5.432212844848633,5.159084190368652
68,number epochs,250,5.432212844848633,5.159084190368652
69,learning_rate,0.01,5.739079219818115,5.393607629776001
69,momentum,0.5,5.739079219818115,5.393607629776001
69,weight_decay,0.0005,5.739079219818115,5.393607629776001
69,number epochs,250,5.739079219818115,5.393607629776001
70,learning_rate,1e-05,6.387066793441773,6.097805681228638
70,momentum,0.5,6.387066793441773,6.097805681228638
70,weight_decay,0.01,6.387066793441773,6.097805681228638
70,number epochs,50,6.387066793441773,6.097805681228638
71,learning_rate,0.001,5.822966680526734,5.536507482528687
71,momentum,0.7,5.822966680526734,5.536507482528687
71,weight_decay,0.1,5.822966680526734,5.536507482528687
71,number epochs,50,5.822966680526734,5.536507482528687
72,learning_rate,0.001,6.187697114944458,5.823834326267242
72,momentum,0.95,6.187697114944458,5.823834326267242
72,weight_decay,0.1,6.187697114944458,5.823834326267242
72,number epochs,200,6.187697114944458,5.823834326267242
73,learning_rate,0.1,5.540321896076202,5.2827566981315615
73,momentum,1,5.540321896076202,5.2827566981315615
73,weight_decay,0.005,5.540321896076202,5.2827566981315615
73,number epochs,200,5.540321896076202,5.2827566981315615
74,learning_rate,0.01,5.908028888702392,5.749014720916748
74,momentum,1,5.908028888702392,5.749014720916748
74,weight_decay,0.0005,5.908028888702392,5.749014720916748
74,number epochs,50,5.908028888702392,5.749014720916748
75,learning_rate,0.1,5.2775957393646244,5.069484243392944
75,momentum,0.05,5.2775957393646244,5.069484243392944
75,weight_decay,0.005,5.2775957393646244,5.069484243392944
75,number epochs,50,5.2775957393646244,5.069484243392944
76,learning_rate,0.1,5.8434144353866575,5.520215406417846
76,momentum,1,5.8434144353866575,5.520215406417846
76,weight_decay,0.0005,5.8434144353866575,5.520215406417846
76,number epochs,100,5.8434144353866575,5.520215406417846
77,learning_rate,0.0001,5.63055748462677,5.267724719047546
77,momentum,0.95,5.63055748462677,5.267724719047546
77,weight_decay,0.005,5.63055748462677,5.267724719047546
77,number epochs,200,5.63055748462677,5.267724719047546
78,learning_rate,1e-05,5.962745666503906,5.565078179836274
78,momentum,0.95,5.962745666503906,5.565078179836274
78,weight_decay,0.0005,5.962745666503906,5.565078179836274
78,number epochs,200,5.962745666503906,5.565078179836274
79,learning_rate,0.01,5.451482880115509,5.190443413257599
79,momentum,0.3,5.451482880115509,5.190443413257599
79,weight_decay,0.005,5.451482880115509,5.190443413257599
79,number epochs,200,5.451482880115509,5.190443413257599
80,learning_rate,0.0001,5.558519932428996,5.183124202092489
80,momentum,0.1,5.558519932428996,5.183124202092489
80,weight_decay,0.1,5.558519932428996,5.183124202092489
80,number epochs,150,5.558519932428996,5.183124202092489
81,learning_rate,0.001,5.571235013008118,5.206109418869018
81,momentum,1,5.571235013008118,5.206109418869018
81,weight_decay,0.0005,5.571235013008118,5.206109418869018
81,number epochs,100,5.571235013008118,5.206109418869018
82,learning_rate,0.01,5.6352710469563805,5.242280858357748
82,momentum,0.7,5.6352710469563805,5.242280858357748
82,weight_decay,0.005,5.6352710469563805,5.242280858357748
82,number epochs,150,5.6352710469563805,5.242280858357748
83,learning_rate,1e-05,5.0181786155700685,4.786502089500427
83,momentum,0.3,5.0181786155700685,4.786502089500427
83,weight_decay,0.1,5.0181786155700685,4.786502089500427
83,number epochs,100,5.0181786155700685,4.786502089500427
84,learning_rate,0.0001,5.969543682098388,5.676816211700439
84,momentum,0.3,5.969543682098388,5.676816211700439
84,weight_decay,0.005,5.969543682098388,5.676816211700439
84,number epochs,250,5.969543682098388,5.676816211700439
85,learning_rate,1e-05,6.108731079101562,5.831886151631673
85,momentum,0.95,6.108731079101562,5.831886151631673
85,weight_decay,0.1,6.108731079101562,5.831886151631673
85,number epochs,150,6.108731079101562,5.831886151631673
86,learning_rate,0.001,5.853208541870117,5.5196836509704585
86,momentum,0.5,5.853208541870117,5.5196836509704585
86,weight_decay,0.01,5.853208541870117,5.5196836509704585
86,number epochs,250,5.853208541870117,5.5196836509704585
87,learning_rate,0.0001,5.610200700759887,5.255679054260254
87,momentum,0.3,5.610200700759887,5.255679054260254
87,weight_decay,0.005,5.610200700759887,5.255679054260254
87,number epochs,50,5.610200700759887,5.255679054260254
88,learning_rate,0.1,5.573012781143189,5.240856602191925
88,momentum,0.05,5.573012781143189,5.240856602191925
88,weight_decay,0.0005,5.573012781143189,5.240856602191925
88,number epochs,200,5.573012781143189,5.240856602191925
89,learning_rate,0.001,5.698047538757324,5.355416776657105
89,momentum,0.1,5.698047538757324,5.355416776657105
89,weight_decay,0.005,5.698047538757324,5.355416776657105
89,number epochs,250,5.698047538757324,5.355416776657105
90,learning_rate,0.01,5.654229755401611,5.298639554977417
90,momentum,0.7,5.654229755401611,5.298639554977417
90,weight_decay,0.01,5.654229755401611,5.298639554977417
90,number epochs,100,5.654229755401611,5.298639554977417
91,learning_rate,0.001,5.718252778053284,5.349273743629456
91,momentum,0.7,5.718252778053284,5.349273743629456
91,weight_decay,0.01,5.718252778053284,5.349273743629456
91,number epochs,100,5.718252778053284,5.349273743629456
92,learning_rate,0.001,6.170283527374267,5.714876050949097
92,momentum,0.3,6.170283527374267,5.714876050949097
92,weight_decay,0.005,6.170283527374267,5.714876050949097
92,number epochs,50,6.170283527374267,5.714876050949097
93,learning_rate,0.1,6.1527141571044925,5.8259861326217655
93,momentum,0.1,6.1527141571044925,5.8259861326217655
93,weight_decay,0.01,6.1527141571044925,5.8259861326217655
93,number epochs,100,6.1527141571044925,5.8259861326217655
94,learning_rate,1e-05,5.623507513999939,5.30581536769867
94,momentum,0.3,5.623507513999939,5.30581536769867
94,weight_decay,0.01,5.623507513999939,5.30581536769867
94,number epochs,100,5.623507513999939,5.30581536769867
95,learning_rate,1e-05,5.424035744667053,5.111902923583984
95,momentum,0.3,5.424035744667053,5.111902923583984
95,weight_decay,0.1,5.424035744667053,5.111902923583984
95,number epochs,100,5.424035744667053,5.111902923583984
96,learning_rate,1e-05,5.220060791015625,4.987761016845703
96,momentum,1,5.220060791015625,4.987761016845703
96,weight_decay,0.01,5.220060791015625,4.987761016845703
96,number epochs,250,5.220060791015625,4.987761016845703
97,learning_rate,0.01,5.827883439064026,5.496659111976624
97,momentum,0.3,5.827883439064026,5.496659111976624
97,weight_decay,0.005,5.827883439064026,5.496659111976624
97,number epochs,100,5.827883439064026,5.496659111976624
98,learning_rate,0.0001,5.50564133644104,5.116256613731384
98,momentum,0.95,5.50564133644104,5.116256613731384
98,weight_decay,0.0005,5.50564133644104,5.116256613731384
98,number epochs,100,5.50564133644104,5.116256613731384
99,learning_rate,0.1,6.391550671259562,6.099771661758423
99,momentum,0.7,6.391550671259562,6.099771661758423
99,weight_decay,0.005,6.391550671259562,6.099771661758423
99,number epochs,150,6.391550671259562,6.099771661758423
100,learning_rate,1e-05,5.8398060054779055,5.470529018402099
100,momentum,0.95,5.8398060054779055,5.470529018402099
100,weight_decay,0.1,5.8398060054779055,5.470529018402099
100,number epochs,250,5.8398060054779055,5.470529018402099
101,learning_rate,0.01,5.628466844558716,5.390454931259155
101,momentum,0.05,5.628466844558716,5.390454931259155
101,weight_decay,0.1,5.628466844558716,5.390454931259155
101,number epochs,50,5.628466844558716,5.390454931259155
